NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
,,,,(g),(Kal),(g),(g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),
466,DR084,"Genjer, segar",DABM-1964,90,35,1.7,0.2,7.7,2.5,0.4,62,33,2.1,64,905.8,,,,,3800,0.07,0.1,1.1,54,70
467,DR085,"Jagung muda / semi, segar",DABM-1964,89.5,35,2.2,0.1,7.4,1.9,0.8,7,100,0.5,353,230.2,0.1,0.8,0,23,200,0.08,0.16,0.9,8,100
468,DR086,Jamur encik,KZGMI-2001,24.8,296,9.4,1.1,62,,2.7,5,277,5.3,2,0,0.2,3.1,,,,1.1,0.1,,,95
469,DR087,"Jamur kuping, kering",DABM-1964,14.9,294,16,0.9,64.6,46.5,3.6,51,223,6.7,174,726.1,0.29,5.5,0,11,0,0.11,0.6,2.7,0,100
470,DR088,"Jamur kuping, segar",DABM-1964,93.7,21,3.8,0.6,0.9,5.1,1,3,94,1.7,17,33.4,0.19,0.1,0,1,0,0.1,0.09,0.1,5,100
471,DR089,"Jamur merang, segar",BKP,91.5,30,3.5,0.2,4,2.4,0.8,14,117,1,6,300,0.3,0.8,,0,0,0.02,0.2,0.5,0,100
472,DR090,"Jamur tiram, segar",BKP,92.5,30,1.9,0.1,5.5,3.6,0.6,9,83,0.7,22,226,0,0.8,,0,0,0.3,0.2,1,0,100
473,DR091,Jamur sagu,KZGMI-2001,91.3,48,1.9,3.2,2.8,1,0.8,10,90,0.6,100,440,0.6,0.6,,0,,0.2,0.2,6.5,,95
474,DR092,"Jantung pisang, segar",DABM-1964,90.2,32,1.2,0.3,7.1,3.2,1.2,30,50,0.1,3,524,0.09,0.3,0,201,170,0.05,0.03,0.8,10,25
475,DR093,"Jengkol, segar",KZGMI-2001,52.7,192,5.4,0.3,40.7,1.5,0.9,4,150,0.7,60,241,0.3,0.6,,,,0.05,0.2,0.5,31,95
476,DR094,"Jotang, segar",DABM-1964,89,34,1.9,0.3,7.1,3.5,1.7,162,41,4,59,388.5,0.3,1.2,,2,3918,0.03,,0.4,20,70
477,DR095,"Kabau, segar",KZGMI-2001,67.2,130,6.7,0.3,25.2,2.9,0.6,4,204,0.5,1,397.8,0.2,0.5,,165,,0.8,0.1,0.3,16,95
478,DR096,"Kacang mekah, polong, segar",KZGPI-1990,93.6,22,1.1,1,3.4,1.1,0.9,63,296,1,2,69.2,0.3,,0,197,116,0.02,,0.4,0,91
479,DR097,"Kacang panjang, segar",KZGMI-2001,91.8,31,2.3,0.1,5.3,2.7,0.5,60,64,0.6,30,213,0.1,0.5,0,125,,0.7,0.1,0.3,46,92
480,DR098,Kacang ranti polong,KZGPI-1990,88.5,37,3.1,0.2,7.9,2.5,0.3,103,126,0.8,,,,,,,2312,0.02,,,6,83
481,DR099,"Kalakai, segar",KZGMI-2001,89.9,38,2.4,0.2,6.6,5.8,0.9,18,90,1.1,7,443,0.4,0.9,,44,,0.3,0.1,,8,70
482,DR100,"Kangkung, segar",KZGPI-1990,91,28,3.4,0.7,3.9,2,1,67,54,2.3,65,250.1,0.13,0.4,,2868,5542,0.07,0.36,2,17,60
483,DR101,Kangkung tondano,KZGMI-2001,88.5,43,1.8,0.2,8.4,4.3,1.1,72,9,0.7,30,361,0.3,0.4,,2741,,0.8,0.1,1.1,23,60
484,DR102,"Kapri muda, segar",DABM-1964,86.8,45,3.3,0.2,9,1.8,0.7,51,85,1,2,118.4,0.09,0.7,,72,440,0.2,0.1,0.9,49,80
485,DR103,Karawila,KZGMI-2001,93.7,25,2.3,0.2,3.5,2.1,0.3,25,67,0.3,8,88.4,0.08,0.3,,21,,0.1,0.1,0.4,39,80
486,DR104,"Kecipir muda, segar",DABM-1964,90.4,32,2.9,0.2,5.8,5.5,0.7,63,37,0.3,3,103.8,0.18,0.4,,261,595,0.24,0.11,0.7,19,96
487,DR105,"Kecombrang, segar",KZGPI-1990,90,34,0.9,1,6.7,2.6,1.4,60,16,1,47,650.6,,,0,0,73,0,0.02,0.8,0,100
488,DR106,"Kelawi,kluwih, segar",DABM-1964,70,118,1.5,0.3,27.2,5,1,28,32,0.9,2,500.9,0.09,0.1,,0,20,0.1,0.03,0.9,19,77
489,DR107,"Kembang turi, segar",DABM-1964,87.4,51,1.8,0.6,9.6,5,0.6,23,29,0.9,22,275.3,0.15,0.9,,201,105,0.13,0.12,0.6,41,83
490,DR108,"Kerokot, segar",DABM-1964,93,26,1.7,0.4,3.8,1,1.1,103,39,3.6,4,240.5,0.23,0.9,,0,2550,0.03,0.09,0.2,25,80
491,DR109,"Ketimun, segar",KZGPI-1990,97.9,8,0.2,0.2,1.4,0.3,0.3,29,95,0.8,2,57.1,0.02,0.1,0,18,314,0.01,0.02,0.1,1,55
492,DR110,"Ketimun krai, segar",KZGPI-1990,96.8,10,0.5,0.2,2,0.6,0.5,20,98,1,10,82.1,0.03,0.1,0,19,21,0.02,0.03,0.1,3,82
493,DR111,"Ketimun madura, segar",KZGPI-1990,97.1,9,0.5,0.1,1.9,0.7,0.4,15,102,0.6,2,78.9,0.02,0.1,0,25,0,0.02,0.02,0.1,5,89
494,DR112,"Komak, segar",KZGMI-2001,74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15,567,0.2,"0,6",,5,,0.2,0.19,0.1,,80
495,DR113,Kool kembang,DABM-1964,91.7,25,2.4,0.2,4.9,1.6,0.8,22,72,1.1,47,187,0.04,0.3,,24,90,0.11,0.09,0.6,69,57
496,DR114,"Kool merah,kool putih",DABM-1964,92.4,29,1.4,0.2,5.3,1.9,0.9,46,31,0.5,28,236.8,0.29,0.3,,46,80,0.06,0.07,0.3,50,75
497,DR115,"Koro kerupuk, polong",DABM-1964,67.2,128,8.3,0.7,22.1,,1.7,17,12,2.7,,,,,,,80,0.11,,,31,68
498,DR116,"Koro wedus, polong",DABM-1964,88,46,3,0.3,7.9,3.3,0.8,56,47,1.1,2,24.3,0.09,0.4,,66,870,0.09,0.09,0.5,17,70
499,DR117,"Kucai, segar",DABM-1964,86.3,45,2.2,0.3,10.3,4.8,0.9,52,50,1.1,21,439.5,0.11,0.5,,2685,40,0.11,0.2,1.8,17,52
500,DR118,"Kucai muda (Lokio), segar",DABM-1964,86,42,3.8,0.6,7.8,4.9,1.8,76,91,2.5,22,449.1,0.11,0.5,,2744,500,0.11,0.2,1.8,59,100
501,DR119,Kulit melinjo,KZGPI-1990,71.9,111,4.5,1.1,20.7,5,1.8,117,179,2.6,,,,,0,,1267,0.07,,,7,100
